Player,Squad,Pos,group,Age,MP,Starts,Min,Sh,SoT,sot90
Yusuf Abdurisag,qa Qatar,FW,Striker,26,2,2,98,0,0,0.0
Ché Adams,sct Scotland,FW,Striker,29,3,2,145,1,1,0.6206896551724138
Michel Aebischer,ch Switzerland,MFFW,Forward-Midfielder,29,4,2,156,2,1,0.5769230769230769
Akram Afif,qa Qatar,FWMF,Forward-Midfielder,29,3,3,238,2,0,0.0
Kerem Aktürkoğlu,tr Türkiye,FW,Striker,27,2,2,129,3,1,0.6976744186046512
Barış Alper Yılmaz,tr Türkiye,MFFW,Forward-Midfielder,26,3,2,179,2,1,0.5027932960893855
Roberto Alvarado,mx Mexico,FWMF,Forward-Midfielder,27,5,5,428,5,0,0.0
Julián Álvarez,ar Argentina,FW,Striker,26,8,5,602,11,5,0.7475083056478405
Oswin Appollis,za South Africa,MFFW,Forward-Midfielder,24,4,3,255,4,1,0.3529411764705882
Maxi Araújo,uy Uruguay,FWMF,Forward-Midfielder,26,3,3,250,4,3,1.08
Álex Baena,es Spain,MFFW,Forward-Midfielder,24,7,7,481,12,5,0.9355509355509356
Folarin Balogun,us USA,FW,Striker,24,4,4,312,14,5,1.4423076923076923
Martin Baturina,hr Croatia,MFFW,Forward-Midfielder,23,4,4,321,3,1,0.2803738317757009
Ibrahim Bayesh,iq Iraq,MFFW,Forward-Midfielder,26,3,3,235,1,0,0.0
Anis Ben Slimane,tn Tunisia,MFFW,Forward-Midfielder,25,3,3,240,1,1,0.375
Oscar Bobb,no Norway,FW,Striker,22,6,1,225,4,2,0.8
Ange-Yoan Bonny,ci Côte d'Ivoire,FW,Striker,22,4,3,234,1,1,0.3846153846153846
Brian Brobbey,nl Netherlands,FW,Striker,24,4,3,223,4,3,1.210762331838565
Firas Al-Buraikan,sa Saudi Arabia,FW,Striker,26,3,3,238,0,0,0.0
Gustavo Caballero,py Paraguay,FWMF,Forward-Midfielder,24,2,0,96,1,1,0.9375
Jovane Cabral,cv Cabo Verde,FW,Striker,28,2,2,139,2,0,0.0
Agustín Canobbio,uy Uruguay,FW,Striker,27,3,2,224,4,1,0.4017857142857143
Brian Cipenga,cd Congo DR,MFFW,Forward-Midfielder,28,2,2,146,6,1,0.6164383561643836
Matheus Cunha,br Brazil,FW,Striker,27,5,4,290,11,5,1.5517241379310345
Jonathan David,ca Canada,FW,Striker,26,5,5,420,18,8,1.7142857142857142
Charles De Ketelaere,be Belgium,FWMF,Forward-Midfielder,25,5,5,350,6,5,1.2857142857142858
Ermedin Demirović,ba Bosnia–Herz,FW,Striker,28,4,4,354,4,4,1.0169491525423728
Amad Diallo,ci Côte d'Ivoire,MFFW,Forward-Midfielder,23,4,2,185,8,4,1.945945945945946
Luis Díaz,co Colombia,FWMF,Forward-Midfielder,29,5,5,478,19,6,1.1297071129707112
Yan Diomandé,ci Côte d'Ivoire,MFFW,Forward-Midfielder,19,4,4,329,4,0,0.0
Anthony Elanga,se Sweden,MFFW,Forward-Midfielder,24,4,2,217,3,3,1.2442396313364057
Breel Embolo,ch Switzerland,FW,Striker,29,6,6,501,10,5,0.8982035928143713
Julio Enciso,py Paraguay,FW,Striker,22,5,5,386,8,1,0.23316062176165803
Endrick,br Brazil,FW,Striker,19,4,0,114,3,0,0.0
Odeh Al-Fakhouri,jo Jordan,MFFW,Forward-Midfielder,20,3,2,148,2,1,0.6081081081081081
Abdul Fatawu Issahaku,gh Ghana,FWMF,Forward-Midfielder,22,4,0,132,3,0,0.0
Cody Gakpo,nl Netherlands,FW,Striker,27,4,4,368,10,6,1.4673913043478262
Amine Gouiri,dz Algeria,FW,Striker,26,4,3,251,3,2,0.7171314741035857
Viktor Gyökeres,se Sweden,FW,Striker,28,4,4,360,12,6,1.5
Erling Haaland,no Norway,FW,Striker,25,5,5,465,20,13,2.5161290322580645
Ali Al Hamadi,iq Iraq,FW,Striker,24,3,2,180,6,0,0.0
Kai Havertz,de Germany,FW,Striker,27,4,4,353,12,7,1.7847025495750708
Adam Hložek,cz Czechia,FW,Striker,23,3,2,156,3,1,0.5769230769230769
Oh Hyeon-gyu,kr Korea Republic,FW,Striker,25,3,1,129,4,2,1.3953488372093024
Nestory Irankunda,au Australia,FWMF,Forward-Midfielder,20,4,3,261,6,2,0.6896551724137931
