https://fbref.com/en/comps/1/stats/World-Cup-Stats
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Brenden Aaronson,MF,us USA,25,1.eng Leeds United,2000,1,1,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5bc43860
2,Thelo Aasgaard,MF,no Norway,24,1.sct Rangers,2002,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,c88a28b9
3,Hamza Abdelkarim,FW,eg Egypt,18,4.es Barcelona B,2008,4,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,057d8f12
4,Hossam Abdelmaguid,DF,eg Egypt,25,1.eg Zamalek SC,2001,2,0,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,accbfc94
5,Mohamed Abdelmonem,DF,eg Egypt,27,1.fr Nice,1999,2,1,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bff15d74
6,Ali Abdi,DF,tn Tunisia,32,1.fr Nice,1993,3,3,269,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad7cdb35
7,Saud Abdulhamid,DF,sa Saudi Arabia,26,1.fr Lens,1999,3,3,269,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,caa254e4
8,Abdulla Abdullaev,DF,uz Uzbekistan,28,1.ae Dibba Al Fujairah,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,03053fbf
9,Yusuf Abdurisag,FW,qa Qatar,26,1.qa Al-Wakrah,1999,2,2,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13c8f40b
10,Husam Abu Dahab,DF,jo Jordan,26,1.kw Al-Salmiya SC,2000,2,2,178,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,300aaeb6
11,Mohammad Abu Hasheesh,DF,jo Jordan,31,1.iq Al-Karma,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,72c2fa7a
12,Mohannad Abu Taha,DF,jo Jordan,23,1.iq Al-Quwa Al-Jawiya,2003,3,3,264,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5c4bac6c
