player,team,matches,starts,minutes,shots_on_target_faced,saves,save_pct,progressed_to_knockout,progression_group,final_stage
Luca Zidane,Algeria,3,3,270,14,8,57.1,Yes,Knockout,Round of 32
Emiliano Martínez,Argentina,8,8,810,28,20,71.4,Yes,Knockout,Runner-up
Patrick Beach,Australia,4,4,388,17,14,82.4,Yes,Knockout,Round of 32
Alexander Schlager,Austria,4,4,360,22,13,59.1,Yes,Knockout,Round of 32
Thibaut Courtois,Belgium,6,6,550,20,14,70.0,Yes,Knockout,Quarter-final
Nikola Vasilj,Bosnia and Herzegovina,4,4,360,14,6,42.9,Yes,Knockout,Round of 32
Alisson,Brazil,5,5,450,18,14,77.8,Yes,Knockout,Round of 16
Vozinha,Cabo Verde,4,4,390,23,18,78.3,Yes,Knockout,Round of 32
Maxime Crépeau,Canada,5,5,450,12,6,50.0,Yes,Knockout,Round of 16
Camilo Vargas,Colombia,5,5,480,7,6,85.7,Yes,Knockout,Round of 16
Dominik Livaković,Croatia,4,4,360,17,10,58.8,Yes,Knockout,Round of 32
Eloy Room,Curaçao,3,3,270,29,20,69.0,No,Group Stage Eliminated,Group Stage
Matej Kovar,Czechia,3,3,270,15,9,60.0,No,Group Stage Eliminated,Group Stage
Yahia Fofana,Côte d'Ivoire,4,4,360,13,9,69.2,Yes,Knockout,Round of 32
Lionel Mpasi,DR Congo,4,4,360,19,14,73.7,Yes,Knockout,Round of 32
Hernán Galíndez,Ecuador,4,4,360,13,9,69.2,Yes,Knockout,Round of 32
Mostafa Shobeir,Egypt,5,5,480,19,12,63.2,Yes,Knockout,Round of 16
Jordan Pickford,England,7,7,660,23,15,65.2,Yes,Knockout,Third place
Mike Maignan,France,8,8,720,22,12,54.5,Yes,Knockout,Fourth place
Manuel Neuer,Germany,4,4,390,10,5,50.0,Yes,Knockout,Round of 32
Benjamin Asare,Ghana,3,2,225,10,8,80.0,Yes,Knockout,Round of 32
Johny Placide,Haiti,3,3,270,19,11,57.9,No,Group Stage Eliminated,Group Stage
Alireza Beiranvand,Iran,3,3,270,18,15,83.3,No,Group Stage Eliminated,Group Stage
Ahmed Basil,Iraq,2,2,135,7,3,42.9,No,Group Stage Eliminated,Group Stage
Zion Suzuki,Japan,4,4,360,17,12,70.6,Yes,Knockout,Round of 32
Yazeed Abulaila,Jordan,3,3,270,16,8,50.0,No,Group Stage Eliminated,Group Stage
Kim Seung-gyu,Korea Republic,3,3,270,12,9,75.0,No,Group Stage Eliminated,Group Stage
Raúl Rangel,Mexico,5,5,437,11,8,72.7,Yes,Knockout,Round of 16
Yassine Bounou,Morocco,6,6,570,20,14,70.0,Yes,Knockout,Quarter-final
Bart Verbruggen,Netherlands,4,4,390,21,16,76.2,Yes,Knockout,Round of 32
Max Crocombe,New Zealand,3,3,270,21,11,52.4,No,Group Stage Eliminated,Group Stage
Ørjan Nyland,Norway,5,5,480,22,15,68.2,Yes,Knockout,Quarter-final
Orlando Mosquera,Panama,3,3,270,11,7,63.6,No,Group Stage Eliminated,Group Stage
Orlando Gill,Paraguay,5,5,480,29,23,79.3,Yes,Knockout,Round of 16
Diogo Costa,Portugal,5,5,450,22,19,86.4,Yes,Knockout,Round of 16
Mahmoud Abunada,Qatar,3,3,270,22,12,54.5,No,Group Stage Eliminated,Group Stage
Mohammed Al-Owais,Saudi Arabia,3,3,270,21,16,76.2,No,Group Stage Eliminated,Group Stage
Angus Gunn,Scotland,3,3,270,12,8,66.7,No,Group Stage Eliminated,Group Stage
Mory Diaw,Senegal,3,2,238,7,4,57.1,Yes,Knockout,Round of 32
Ronwen Williams,South Africa,4,4,360,15,11,73.3,Yes,Knockout,Round of 32
Unai Simón,Spain,8,8,750,11,9,90.9,Yes,Knockout,Champion
Jacob Widell Zetterström,Sweden,2,2,180,15,11,73.3,Yes,Knockout,Round of 32
Gregor Kobel,Switzerland,6,6,600,26,20,76.9,Yes,Knockout,Quarter-final
Aymen Dahmen,Tunisia,2,2,180,12,5,41.7,No,Group Stage Eliminated,Group Stage
Uğurcan Çakır,Türkiye,3,3,270,13,8,61.5,No,Group Stage Eliminated,Group Stage
Matt Freese,USA,4,4,360,13,8,61.5,Yes,Knockout,Round of 16
Fernando Muslera,Uruguay,3,3,225,8,4,50.0,No,Group Stage Eliminated,Group Stage
Abduvohid Nematov,Uzbekistan,2,2,180,13,5,38.5,No,Group Stage Eliminated,Group Stage
