team,progression_status,matches_played,pass_completion_pct
Argentina,Knockout,5,84.18
France,Knockout,5,83.92
Croatia,Knockout,5,81.45
Morocco,Knockout,5,85.2
Netherlands,Knockout,5,82.11
England,Knockout,5,87.64
Brazil,Knockout,5,88.42
Portugal,Knockout,5,85.31
Japan,Knockout,4,79.84
Senegal,Knockout,4,81.2
South Korea,Knockout,4,80.55
USA,Knockout,4,82.9
Spain,Knockout,4,89.12
Poland,Knockout,4,78.3
Australia,Knockout,4,77.5
Switzerland,Knockout,4,82.4
Germany,Knockout,4,86.1
Uruguay,Knockout,4,82.35
Belgium,Knockout,4,84.5
Denmark,Knockout,4,83.15
Mexico,Knockout,4,80.9
Ecuador,Knockout,4,81.75
Cameroon,Knockout,4,79.6
Canada,Knockout,4,82.1
Ghana,Knockout,4,78.9
Serbia,Knockout,4,81.4
Colombia,Knockout,4,85.6
Italy,Knockout,4,86.3
Chile,Knockout,4,82.7
Nigeria,Knockout,4,80.8
Algeria,Knockout,4,83.3
Austria,Knockout,4,80.9
Tunisia,Eliminated,3,76.4
Costa Rica,Eliminated,3,72.1
Saudi Arabia,Eliminated,3,75.8
Iran,Eliminated,3,74.2
Wales,Eliminated,3,77.3
Qatar,Eliminated,3,71.9
Peru,Eliminated,3,76.5
New Zealand,Eliminated,3,73.8
Honduras,Eliminated,3,74.9
Panama,Eliminated,3,75.1
Jamaica,Eliminated,3,73.4
Egypt,Eliminated,3,78.6
South Africa,Eliminated,3,77.1
Iraq,Eliminated,3,72.8
Uzbekistan,Eliminated,3,74.5
Bolivia,Eliminated,3,70.6
